Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	41	39	39	0	0
2	40	38	39	0	1
3	39	36	39	0	1
4	39	36	39	0	1
5	37	35	39	0	1
6	38	36	41	0	1
7	38	36	42	0	1
8	39	37	42	0	1
9	39	38	43	0	1
10	39	37	43	0	1
11	40	39	45	0	1
12	39	37	45	0	1
13	38	36	45	0	1
14	39	38	45	0	1
15	39	37	45	0	1
16	39	36	45	0	1
17	37	35	45	0	1
18	37	36	46	0	1
19	36	35	46	0	1
20	37	35	46	0	1
21	37	36	46	0	1
22	37	36	47	0	1
23	37	35	47	0	1
24	38	37	47	0	1
25	39	38	48	0	1
26	39	37	48	0	1
27	40	39	49	0	1
28	37	36	49	0	1
29	36	36	49	0	1
30	36	36	49	0	1
31	38	37	50	0	1
32	38	36	50	0	1
33	37	36	50	0	1
34	37	36	50	0	1
35	37	36	50	0	1
36	37	36	50	0	1
37	37	36	50	0	1
38	38	38	51	0	2
39	38	38	51	0	2
40	39	38	52	0	2
41	39	38	53	0	3
42	39	36	53	0	3
43	35	34	53	0	3
44	37	36	54	0	3
45	38	36	55	0	4
46	36	35	56	0	4
47	38	37	56	0	4
48	35	35	56	0	4
49	36	35	56	0	4
50	37	35	56	0	4
51	37	35	56	0	4
52	41	39	60	0	4
53	41	39	60	0	4
54	41	40	61	0	4
55	41	40	61	0	4
56	41	41	61	0	4
57	41	40	61	0	4
58	41	40	61	0	4
59	42	41	63	0	4
60	42	42	63	0	4
61	42	41	63	0	4
62	42	41	63	0	5
63	39	39	63	0	5
64	40	39	63	0	5
65	40	39	64	0	5
66	38	38	64	0	5
67	40	40	65	0	5
68	39	37	65	0	5
69	39	37	65	0	5
70	40	38	66	0	5
71	38	37	66	0	5
72	39	39	66	0	5
73	38	37	66	0	5
74	40	40	67	0	5
75	41	41	68	0	5
76	42	41	69	0	5
77	42	42	69	0	5
78	41	41	69	0	6
79	42	42	70	0	6
80	42	42	70	0	6
81	41	40	70	0	6
82	41	39	70	0	6
83	40	40	70	0	6
84	41	41	71	0	6
85	42	41	72	0	6
86	41	41	72	0	6
87	41	41	72	0	6
88	40	40	72	0	6
89	40	40	72	0	6
90	40	40	72	0	6
91	40	40	72	0	6
92	40	40	72	0	6
93	40	40	72	0	6
94	41	41	73	0	6
95	41	41	73	0	6
96	40	40	73	0	6
97	39	39	73	0	6
98	39	38	73	0	6
99	39	39	73	0	6
100	39	39	73	0	7
101	38	38	73	0	7
102	37	37	73	0	7
103	38	37	74	0	8
104	38	36	74	0	8
105	39	38	75	0	9
106	39	38	75	0	9
107	38	38	75	0	9
108	36	36	75	0	9
109	36	36	75	0	9
110	35	34	75	0	9
111	35	34	75	0	9
112	35	35	75	0	9
113	35	34	75	0	9
114	34	34	75	0	9
115	34	34	75	0	9
116	34	33	75	0	9
117	33	33	75	0	9
118	33	32	75	0	9
119	33	32	75	0	9
120	33	33	75	0	9
121	36	35	75	0	9
122	36	35	75	0	9
123	35	34	75	0	9
124	35	35	76	0	9
125	36	35	76	0	9
126	37	36	77	0	10
127	38	37	78	0	10
128	35	35	78	0	10
129	36	35	78	0	10
130	36	35	79	0	10
131	36	35	79	0	10
132	34	33	79	0	10
133	33	33	79	0	10
134	33	33	79	0	10
135	32	32	79	0	10
136	32	32	79	0	10
137	31	30	79	0	10
138	32	31	79	0	10
139	34	33	80	0	10
140	34	33	80	0	10
141	33	32	80	0	10
142	34	33	81	0	10
143	32	32	81	0	10
144	32	32	81	0	10
145	32	32	81	0	10
146	31	31	81	0	10
147	31	31	81	0	10
148	32	32	81	0	10
149	32	32	81	0	10
150	32	32	81	0	10
151	33	33	81	0	10
152	34	33	82	0	10
153	34	33	82	0	10
154	31	31	82	0	10
155	31	31	82	0	10
156	32	31	82	0	10
157	31	31	82	0	10
158	31	30	82	0	10
159	31	30	82	0	10
160	30	29	82	0	10
161	31	31	83	0	10
162	31	30	83	0	10
163	31	31	83	0	10
164	30	30	83	0	10
165	30	30	83	0	10
166	30	30	83	0	10
167	30	30	83	0	10
168	30	30	83	0	10
169	30	30	83	0	10
170	30	30	83	0	10
171	30	30	83	0	10
172	30	30	83	0	10
173	30	30	83	0	10
174	30	30	83	0	10
175	30	30	83	0	10
176	30	29	83	0	10
177	30	30	83	0	10
178	30	28	83	0	10
179	30	30	83	0	10
180	30	30	83	0	10
181	30	30	83	0	10
182	31	30	84	0	10
183	32	31	85	0	10
184	30	30	85	0	10
185	31	31	85	0	10
186	30	30	85	0	10
187	30	30	85	0	10
188	30	30	85	0	10
189	30	30	85	0	10
190	30	30	85	0	10
191	30	30	85	0	10
192	31	31	86	0	10
193	31	31	86	0	10
194	32	32	87	0	11
195	32	32	87	0	11
196	33	33	88	0	11
197	33	33	88	0	11
198	33	33	88	0	11
199	33	33	88	0	11
200	34	34	89	0	11
201	34	34	89	0	11
