Frame	Objetos_Detectados	IDs_Confirmados	IDs_Unicos	En_Zonas	Cruzaron_Lineas
1	11	11	11	0	0
2	11	11	11	0	0
3	11	11	11	0	0
4	11	11	11	0	0
5	11	11	11	0	0
6	11	11	11	0	0
7	11	11	11	0	0
8	12	12	12	0	0
9	12	12	12	0	0
10	12	12	12	0	0
11	12	12	12	0	0
12	12	12	12	0	0
13	12	12	12	0	0
14	12	12	12	0	0
15	12	12	12	0	0
16	12	12	12	0	0
17	12	12	12	0	0
18	12	12	12	0	0
19	12	12	12	0	0
20	12	12	12	0	0
21	12	12	12	0	0
22	12	12	12	0	0
23	12	12	12	0	0
24	12	12	12	0	0
25	12	12	12	0	0
26	12	12	12	0	0
27	12	12	12	0	0
28	12	12	12	0	0
29	12	12	12	0	0
30	12	12	12	0	0
31	12	12	12	0	0
32	12	12	12	0	0
33	12	12	12	0	0
34	12	12	12	0	0
35	12	12	12	0	0
36	12	12	12	0	0
37	12	12	12	0	0
38	12	12	12	0	0
39	12	12	12	0	0
40	12	12	12	0	0
41	12	12	12	0	0
42	12	12	12	0	0
43	12	12	12	0	0
44	12	12	12	0	0
45	12	12	12	0	0
46	12	12	12	0	0
47	12	12	12	0	0
48	12	12	12	0	0
49	12	12	12	0	0
50	12	12	12	0	0
51	12	12	12	0	0
52	12	12	12	0	0
53	12	12	12	0	0
54	12	12	12	0	0
55	12	12	12	0	0
56	12	12	12	0	0
57	12	12	12	0	0
58	12	12	12	0	0
59	11	11	12	0	0
60	11	11	12	0	0
61	11	11	12	0	0
62	11	11	12	0	0
63	11	11	12	0	0
64	11	11	12	0	0
65	11	11	12	0	0
66	11	11	12	0	0
67	11	11	12	0	0
68	11	11	12	0	0
69	11	11	12	0	0
70	11	11	12	0	0
71	11	11	12	0	0
72	11	11	12	0	0
73	11	11	12	0	0
74	11	11	12	0	0
75	11	11	12	0	0
76	11	11	12	0	0
77	11	11	12	0	0
78	11	11	12	0	0
79	11	11	12	0	0
80	11	11	12	0	0
81	11	11	12	0	0
82	11	11	12	0	0
83	11	11	12	0	0
84	11	11	12	0	0
85	11	11	12	0	0
86	11	11	12	0	0
87	11	11	12	0	0
88	11	11	12	0	0
89	11	11	12	0	0
90	11	11	12	0	0
91	11	11	12	0	0
92	11	11	12	0	0
93	11	11	12	0	0
94	11	11	12	0	0
95	11	11	12	0	0
96	11	11	12	0	0
97	11	11	12	0	0
98	11	11	12	0	0
99	11	11	12	0	0
100	11	11	12	0	0
101	11	11	12	0	0
102	11	11	12	0	0
103	11	11	12	0	0
104	11	11	12	0	0
105	11	11	12	0	0
106	11	11	12	0	0
107	11	11	12	0	0
108	11	11	12	0	0
109	11	11	12	0	0
110	11	11	12	0	0
111	11	11	12	0	0
112	11	11	12	0	0
113	11	11	12	0	0
114	11	11	12	0	0
115	11	11	12	0	0
116	11	11	12	0	0
117	11	11	12	0	0
118	11	11	12	0	0
119	11	11	12	0	0
120	12	12	13	0	0
121	12	12	13	0	0
122	12	12	13	0	0
123	12	12	13	0	0
124	12	12	13	0	0
125	12	12	13	0	0
126	12	12	13	0	0
127	12	12	13	0	0
128	12	12	13	0	0
129	12	12	13	0	0
130	12	12	13	0	0
131	12	12	13	0	0
132	12	12	13	0	0
133	12	12	13	0	0
134	12	12	13	0	0
135	12	12	13	0	0
136	12	12	13	0	0
137	12	12	13	0	0
138	12	12	13	0	0
139	12	12	13	0	0
140	12	12	13	0	0
141	12	12	13	0	0
142	12	12	13	0	0
143	12	12	13	0	0
144	12	12	13	0	0
145	12	12	13	0	0
146	11	11	13	0	0
147	11	11	13	0	0
148	11	11	13	0	0
149	11	11	13	0	0
150	11	11	13	0	0
151	11	11	13	0	0
152	11	11	13	0	0
153	11	11	13	0	0
154	11	11	13	0	0
155	11	11	13	0	0
156	11	11	13	0	0
157	11	11	13	0	0
158	11	11	13	0	0
159	11	11	13	0	0
160	11	11	13	0	0
161	11	11	13	0	0
162	11	11	13	0	0
163	11	11	13	0	0
164	11	11	13	0	0
165	11	11	13	0	0
166	11	11	13	0	0
167	11	11	13	0	0
168	11	11	13	0	0
169	11	11	13	0	0
170	11	11	13	0	0
171	11	11	13	0	0
172	11	11	13	0	0
173	12	12	14	0	0
174	12	12	14	0	0
175	12	12	14	0	0
176	12	12	14	0	0
177	12	12	14	0	0
178	12	12	14	0	0
179	12	12	14	0	0
180	12	12	14	0	0
181	12	12	14	0	0
182	12	12	14	0	0
183	12	12	14	0	0
184	13	13	15	0	0
185	13	13	15	0	0
186	13	13	15	0	0
187	13	13	15	0	0
188	12	12	15	0	0
189	13	13	16	0	0
190	13	13	16	0	0
191	13	13	16	0	0
192	13	13	16	0	0
193	13	13	16	0	0
194	13	13	16	0	0
195	13	13	16	0	0
196	13	13	16	0	0
197	13	13	16	0	0
198	13	13	16	0	0
199	13	13	16	0	0
200	13	13	16	0	0
201	13	13	16	0	0
202	13	13	16	0	0
203	13	13	16	0	0
204	13	13	16	0	0
205	13	13	16	0	0
206	13	13	16	0	0
207	13	13	16	0	0
208	13	13	16	0	0
209	13	13	16	0	0
210	13	13	16	0	0
211	13	13	16	0	0
212	13	13	16	0	0
213	13	13	16	0	0
214	13	13	16	0	0
215	13	13	16	0	0
216	13	13	16	0	0
217	13	13	16	0	0
218	13	13	16	0	0
219	12	12	16	0	0
220	12	12	16	0	0
221	12	12	16	0	0
222	12	12	16	0	0
223	12	12	16	0	0
224	12	12	16	0	0
225	12	12	16	0	0
226	12	12	16	0	0
227	12	12	16	0	0
228	12	12	16	0	0
229	12	12	16	0	1
230	12	12	16	0	1
231	12	12	16	0	1
232	12	12	16	0	1
233	12	12	16	0	1
234	13	13	17	0	1
235	13	13	17	0	1
236	13	13	17	0	1
237	14	14	18	0	1
238	15	15	18	0	1
239	15	15	18	0	1
240	15	15	18	0	1
241	15	15	18	0	2
242	15	15	18	0	2
243	14	14	18	0	2
244	14	14	18	0	2
245	14	14	18	0	2
246	13	13	18	0	2
247	13	13	18	0	2
248	12	12	18	0	2
249	13	13	18	0	2
250	13	13	18	0	2
251	13	13	18	0	2
252	14	14	19	0	2
253	13	13	19	0	2
254	13	13	19	0	2
