id,analysis_id,frame_number,timestamp_ms,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,created_at
detection_1_1_40,analysis_001,1,40,1,person,0.8072,1459,469,1544,640,1501,554,2025-08-24T00:32:45.848226
detection_2_1_40,analysis_001,1,40,2,person,0.7892,1446,319,1516,480,1481,399,2025-08-24T00:32:45.862620
detection_3_1_40,analysis_001,1,40,3,person,0.7729,664,649,744,850,704,749,2025-08-24T00:32:45.865260
detection_4_1_40,analysis_001,1,40,4,person,0.7686,259,434,326,609,292,521,2025-08-24T00:32:45.869253
detection_5_1_40,analysis_001,1,40,5,person,0.7548,1141,950,1245,1080,1193,1015,2025-08-24T00:32:45.871291
detection_6_1_40,analysis_001,1,40,6,person,0.7518,749,450,822,620,785,535,2025-08-24T00:32:45.873034
detection_7_1_40,analysis_001,1,40,7,person,0.7290,1794,144,1850,271,1822,207,2025-08-24T00:32:45.875494
detection_8_1_40,analysis_001,1,40,8,person,0.6932,1200,126,1255,265,1227,195,2025-08-24T00:32:45.877785
detection_9_1_40,analysis_001,1,40,9,person,0.6346,198,44,266,160,232,102,2025-08-24T00:32:45.880817
detection_10_1_40,analysis_001,1,40,10,person,0.6245,709,241,764,386,736,313,2025-08-24T00:32:45.883354
detection_11_1_40,analysis_001,1,40,11,person,0.6055,1091,45,1133,147,1112,96,2025-08-24T00:32:45.885120
detection_12_1_40,analysis_001,1,40,12,person,0.5942,1674,11,1727,140,1700,75,2025-08-24T00:32:45.886788
detection_13_1_40,analysis_001,1,40,13,person,0.5721,566,271,628,404,597,337,2025-08-24T00:32:45.888854
detection_14_1_40,analysis_001,1,40,14,person,0.5630,892,93,930,210,911,151,2025-08-24T00:32:45.890460
detection_15_1_40,analysis_001,1,40,15,person,0.5594,1615,16,1654,127,1634,71,2025-08-24T00:32:45.892034
detection_16_1_40,analysis_001,1,40,16,person,0.5389,89,128,144,252,116,190,2025-08-24T00:32:45.896701
detection_17_1_40,analysis_001,1,40,17,person,0.5383,1163,151,1213,279,1188,215,2025-08-24T00:32:45.899594
detection_18_1_40,analysis_001,1,40,18,person,0.5316,854,72,894,196,874,134,2025-08-24T00:32:45.903067
detection_19_1_40,analysis_001,1,40,19,person,0.5222,925,174,979,306,952,240,2025-08-24T00:32:45.906987
detection_20_1_40,analysis_001,1,40,20,person,0.5090,798,75,844,202,821,138,2025-08-24T00:32:45.913541
detection_21_1_40,analysis_001,1,40,21,person,0.5062,1419,702,1525,886,1472,794,2025-08-24T00:32:45.917282
detection_22_1_40,analysis_001,1,40,22,person,0.4806,725,5,770,108,747,56,2025-08-24T00:32:45.922251
detection_23_1_40,analysis_001,1,40,23,person,0.4743,31,792,137,989,84,890,2025-08-24T00:32:45.927752
detection_24_1_40,analysis_001,1,40,24,person,0.4324,1695,77,1780,284,1737,180,2025-08-24T00:32:45.932878
