id,analysis_id,line_id,line_name,track_id,direction,frame_number,timestamp_ms,position_x,position_y,class_name,confidence,created_at
crossing_5_21_840,analysis_001,line_entrada_principal,line_principal,5,right_to_left,21,840,1161,928,person,0.8142616,2025-08-24T00:10:56.128520
crossing_21_28_1120,analysis_001,line_entrada_principal,line_principal,21,right_to_left,28,1120,1352,791,person,0.7973144,2025-08-24T00:10:56.786715
crossing_1_29_1160,analysis_001,line_entrada_principal,line_principal,1,left_to_right,29,1160,1545,653,person,0.72985774,2025-08-24T00:10:56.916538
crossing_2_58_2320,analysis_001,line_entrada_principal,line_principal,2,left_to_right,58,2320,1590,620,person,0.60188013,2025-08-24T00:10:59.897439
crossing_33_60_2400,analysis_001,line_entrada_principal,line_principal,33,right_to_left,60,2400,1072,993,person,0.69396174,2025-08-24T00:11:00.116088
crossing_26_73_2920,analysis_001,line_entrada_principal,line_principal,26,right_to_left,73,2920,1733,510,person,0.79159653,2025-08-24T00:11:01.579040
crossing_31_92_3680,analysis_001,line_entrada_principal,line_principal,31,right_to_left,92,3680,1851,428,person,0.5664481,2025-08-24T00:11:03.466799
crossing_41_103_4120,analysis_001,line_entrada_principal,line_principal,41,right_to_left,103,4120,1232,876,person,0.8049643,2025-08-24T00:11:04.672485
crossing_37_143_5720,analysis_001,line_entrada_principal,line_principal,37,left_to_right,143,5720,1820,454,person,0.76367277,2025-08-24T00:11:09.171376
crossing_12_239_9560,analysis_001,line_entrada_principal,line_principal,12,left_to_right,239,9560,1813,460,person,0.5139502,2025-08-24T00:11:19.747502
crossing_19_261_10440,analysis_001,line_entrada_principal,line_principal,19,left_to_right,261,10440,1010,1042,person,0.5744096,2025-08-24T00:11:21.708945
crossing_11_276_11040,analysis_001,line_entrada_principal,line_principal,11,right_to_left,276,11040,1269,858,person,0.61235726,2025-08-24T00:11:23.234752
crossing_57_287_11480,analysis_001,line_entrada_principal,line_principal,57,right_to_left,287,11480,1212,893,person,0.5680011,2025-08-24T00:11:24.343178
crossing_38_291_11640,analysis_001,line_entrada_principal,line_principal,38,right_to_left,291,11640,1054,1013,person,0.62792456,2025-08-24T00:11:24.740432
